index,subset_size,minority_size,run,roc_auc,time_elapsed
0,125,0.2889,0,0.654852981956485,53.250061962753534
1,125,0.2889,1,0.7029723478316702,53.124628845602274
2,125,0.2889,2,0.6536600657364033,54.48549578152597
3,125,0.2889,3,0.6781667307055317,51.675486505031586
4,125,0.2889,4,0.6448426121357095,55.34336280077696
5,125,0.2889,5,0.6577140869663037,56.22274158895016
6,125,0.2889,6,0.6619454574519482,55.172480534762144
7,125,0.2889,7,0.6576782433433392,55.57104271091521
8,125,0.2889,8,0.668405145028688,52.29320481233299
9,125,0.2889,9,0.6451973035882405,53.9367953017354
10,125,0.2889,10,0.675750366508148,54.03857582435012
11,125,0.2889,11,0.6808628625773673,54.23625793121755
12,125,0.2889,12,0.6590418557514399,53.57347724400461
13,125,0.2889,13,0.6610724055513564,53.12185916677117
14,125,0.2889,14,0.6449515336192889,55.21830290183425
15,125,0.2889,15,0.6536793719859838,54.228672467172146
16,125,0.2889,16,0.6504814611579576,54.72127201408148
17,125,0.2889,17,0.680270234834302,54.86090138554573
18,125,0.2889,18,0.6688923842965522,51.76258381456137
19,125,0.2889,19,0.6668097746828673,56.09136424027383
20,125,0.2889,20,0.664445840894536,54.406907783821225
21,125,0.2889,21,0.6770790300161851,50.5550777297467
22,125,0.2889,22,0.6670472521411444,54.67631136998534
23,125,0.2889,23,0.677121209053774,55.431387251242995
24,125,0.2889,24,0.6754280862603513,53.47351690940559
25,125,0.2889,25,0.6676965421384627,54.28083382546902
26,125,0.2889,26,0.673804817148569,56.47437808662653
27,125,0.2889,27,0.6572575576943444,53.31927912123501
28,125,0.2889,28,0.6720397088682506,49.02674862742424
29,125,0.2889,29,0.6720542220854855,54.75303213112056
30,110,0.2889,0,0.6455999041873539,50.66221383586526
31,110,0.2889,1,0.6536594092533281,47.943402376025915
32,110,0.2889,2,0.708835276410293,50.572354800999165
33,110,0.2889,3,0.6580145126807542,51.18590655736625
34,110,0.2889,4,0.65116181762855,50.776545556262136
35,110,0.2889,5,0.6636392226105308,49.76353426091373
36,110,0.2889,6,0.6543374821510723,47.57964141480625
37,110,0.2889,7,0.6740649909209097,49.26513620465994
38,110,0.2889,8,0.6664289580275217,48.131617894396186
39,110,0.2889,9,0.6568920448595074,52.29490834660828
40,110,0.2889,10,0.7056217370496995,50.5154854953289
41,110,0.2889,11,0.6522248790256989,48.11476606503129
42,110,0.2889,12,0.6615720579965102,47.40286728926003
43,110,0.2889,13,0.6822115170538914,52.10108414851129
44,110,0.2889,14,0.6777684254822389,49.75027354620397
45,110,0.2889,15,0.6585231917681935,50.227049831300974
46,110,0.2889,16,0.6566646899467142,48.73420671187341
47,110,0.2889,17,0.6922878687179546,50.781925121322274
48,110,0.2889,18,0.6566070606152424,48.860368236899376
49,110,0.2889,19,0.646167400275915,47.33533761277795
50,110,0.2889,20,0.6656835056128456,49.72834343276918
51,110,0.2889,21,0.6576905982842272,51.87955064326525
52,110,0.2889,22,0.6530544124514595,45.84080748073757
53,110,0.2889,23,0.6835917850729188,52.044930985197425
54,110,0.2889,24,0.6502999982945559,51.333660595119
55,110,0.2889,25,0.6430079113551893,51.665639631450176
56,110,0.2889,26,0.7219147028434301,44.25883066281676
57,110,0.2889,27,0.6951980140723428,50.21993585303426
