index,subset_size,minority_size,run,roc_auc,time_elapsed
0,125,0.2889,0,0.6622821115025632,58.102019960060716
1,125,0.2889,1,0.6728830972634313,57.15719914622605
2,125,0.2889,2,0.6636264053079072,54.74503496102989
3,125,0.2889,3,0.6449433399340236,59.2152285836637
4,125,0.2889,4,0.6711299221512722,58.27290957607329
5,125,0.2889,5,0.6809018103770237,58.91032766737044
6,125,0.2889,6,0.6746436525159692,60.193438947200775
7,125,0.2889,7,0.6542324466237612,60.439613580703735
8,125,0.2889,8,0.6640375101864292,56.206445628777146
9,125,0.2889,9,0.6669855162609728,56.69552402570844
10,125,0.2889,10,0.659695197590535,58.79305824637413
11,125,0.2889,11,0.6700140773971803,55.59274226985872
12,125,0.2889,12,0.6665537480482336,56.858540715649724
13,125,0.2889,13,0.6569425534672995,56.57996512949467
14,125,0.2889,14,0.6534032132037071,56.872230399399996
15,125,0.2889,15,0.6595067392999542,59.3208867572248
16,125,0.2889,16,0.6743198810633376,58.73080154135823
17,125,0.2889,17,0.6660901598184752,57.378127893432975
18,125,0.2889,18,0.670617740056025,57.98209567554295
19,125,0.2889,19,0.6690438960020124,57.50457330793142
20,125,0.2889,20,0.7201833293224335,56.13556692562997
21,125,0.2889,21,0.6609451907786407,56.06054078787565
22,125,0.2889,22,0.672896758111512,57.573959060013294
23,125,0.2889,23,0.6747762020960417,57.035555720329285
24,125,0.2889,24,0.6891946475283074,56.54928416199982
25,125,0.2889,25,0.6749244419745623,57.211556827649474
26,125,0.2889,26,0.6997753105496717,58.02504971437156
27,125,0.2889,27,0.6489316457962931,58.66534004546702
28,125,0.2889,28,0.6588644606124696,61.278516471385956
29,125,0.2889,29,0.6447169185683994,58.80073808133602
30,110,0.2889,0,0.6594647226183945,209.47850517742336
31,110,0.2889,1,0.6757443822766738,214.5603551696986
32,110,0.2889,2,0.673831886486989,211.92796397581697
33,110,0.2889,3,0.6716036029259437,207.8305487949401
34,110,0.2889,4,0.6541455826185645,207.88859550468624
35,110,0.2889,5,0.6387928876510677,206.619099708274
36,110,0.2889,6,0.6624417480684504,213.94292102195323
37,110,0.2889,7,0.6626593563252625,207.1007462106645
38,110,0.2889,8,0.6641738398384028,206.02714207209647
39,110,0.2889,9,0.6670889405811663,206.7419244721532
40,110,0.2889,10,0.6317310833272415,205.22733178921044
41,110,0.2889,11,0.6641105809880864,204.62577345222235
42,110,0.2889,12,0.6457596184017769,208.27006056718528
43,110,0.2889,13,0.6645097544631885,204.0359766446054
44,110,0.2889,14,0.6701206747189046,212.6075514089316
45,110,0.2889,15,0.655768017008587,207.3339045830071
46,110,0.2889,16,0.6615587183310094,206.04942512512207
47,110,0.2889,17,0.6556757740775474,208.4718099795282
48,110,0.2889,18,0.6636734479674197,211.9075539559126
49,110,0.2889,19,0.6597579234895377,203.66253264434636
50,110,0.2889,20,0.671718169811023,207.538708711043
51,110,0.2889,21,0.6687265640836331,208.59759436547756
52,110,0.2889,22,0.6701638314221487,198.79486812651157
53,110,0.2889,23,0.6537079272350206,207.07538497447968
54,110,0.2889,24,0.6515758096208116,200.13967948779464
55,110,0.2889,25,0.6929416340945177,206.05360059812665
56,110,0.2889,26,0.6734120143828807,206.7597716189921
57,110,0.2889,27,0.6723291049611401,214.91204633191228
58,110,0.2889,28,0.6451017764770849,201.61571192368865
59,110,0.2889,29,0.6572244352996117,203.4502473771572
60,100,0.2889,0,0.6657672689708289,314.57047261856496
61,100,0.2889,1,0.6733480302246503,312.8052404746413
62,100,0.2889,2,0.6730053266472015,304.43525169603527
63,100,0.2889,3,0.6785442243564934,309.6052114907652
64,100,0.2889,4,0.6275659293952311,311.11451910994947
65,100,0.2889,5,0.6595110523231694,298.6946263872087
66,100,0.2889,6,0.6684815123636375,313.03200135938823
67,100,0.2889,7,0.6736883778749334,301.62546052224934
68,100,0.2889,8,0.6580465621139014,307.29585054144263
69,100,0.2889,9,0.6543149570167353,311.657217875123
70,100,0.2889,10,0.6672199071899524,301.87181381881237
71,100,0.2889,11,0.6802390077697383,311.00893309526145
72,100,0.2889,12,0.677806932097033,290.758884312585
73,100,0.2889,13,0.6687974077841048,308.85126405768096
74,100,0.2889,14,0.6519750801565836,286.3283248860389
75,100,0.2889,15,0.6769205140598487,305.7347397264093
76,100,0.2889,16,0.6588446990601112,308.26469930820167
77,100,0.2889,17,0.6566578374634308,315.2291861567646
78,100,0.2889,18,0.6840126789611688,310.5877371132374
79,100,0.2889,19,0.6769967737456917,302.19062459282577
80,100,0.2889,20,0.6688505987958603,302.1137660071254
81,100,0.2889,21,0.6493375129281282,303.2506610006094
82,100,0.2889,22,0.6720610622155929,300.81906657107174
83,100,0.2889,23,0.6859785898845192,294.2539153955877
84,100,0.2889,24,0.6521969961423926,303.0818468593061
85,100,0.2889,25,0.6583406418252906,294.95846462622285
86,100,0.2889,26,0.6692496593276376,297.6563687585294
87,100,0.2889,27,0.6690318481257889,308.37620474770665
88,100,0.2889,28,0.6605782608580253,318.1316977776587
89,100,0.2889,29,0.6533553305282165,307.4876052290201
90,90,0.2889,0,0.6691022206408275,400.74804654717445
91,90,0.2889,1,0.6599901967311773,400.2809342518449
92,90,0.2889,2,0.6496879495938458,405.91812277957797
93,90,0.2889,3,0.658151493521585,414.85636017657816
94,90,0.2889,4,0.6761136381238838,405.3387422822416
95,90,0.2889,5,0.6604851532046553,397.9790871758014
96,90,0.2889,6,0.6626014040464713,396.41833502426744
97,90,0.2889,7,0.6669379177085335,404.78228490427136
98,90,0.2889,8,0.6745091899583332,405.75253658927977
99,90,0.2889,9,0.6776832326853013,405.03919860720634
100,90,0.2889,10,0.6774585089990276,405.80096412822604
101,90,0.2889,11,0.6584190421400863,392.7340326048434
102,90,0.2889,12,0.6621466642203142,406.75610065087676
103,90,0.2889,13,0.676026707058588,398.3889409415424
104,90,0.2889,14,0.6575181991226393,385.7125691436231
105,90,0.2889,15,0.6421309770278077,401.05297041125596
106,90,0.2889,16,0.6612026115574395,409.4172720015049
107,90,0.2889,17,0.6811324088809257,397.92684358917177
108,90,0.2889,18,0.666292194249643,397.50164305232465
109,90,0.2889,19,0.6640015200900904,382.618919365108
110,90,0.2889,20,0.6631680318832229,398.6107663754374
111,90,0.2889,21,0.6670021012823218,400.65718721970916
112,90,0.2889,22,0.6675815428922183,402.5294896494597
113,90,0.2889,23,0.6585332366651417,398.47370408289135
114,90,0.2889,24,0.6600620904516217,392.17128220386803
115,90,0.2889,25,0.682256523204079,379.42816788330674
116,90,0.2889,26,0.6737820908339348,386.3858735449612
117,90,0.2889,27,0.6729055359255351,408.9127633050084
118,90,0.2889,28,0.6685403505416324,414.40067473612726
119,90,0.2889,29,0.6632125033173573,390.2550908345729
120,80,0.2889,0,0.6553773884019007,501.69840413704515
121,80,0.2889,1,0.6642809012866023,516.6801398601383
