index,subset_size,minority_size,run,roc_auc,time_elapsed
0,125,0.2889,0,0.766510649934339,267.09403103776276
1,125,0.2889,1,0.7573068119253356,272.6146482620388
2,125,0.2889,2,0.7613476823168562,262.47213161177933
3,125,0.2889,3,0.7729359903871678,263.7499000746757
4,125,0.2889,4,0.7705225485983126,264.6286771595478
5,125,0.2889,5,0.765539730878081,260.53312685340643
6,125,0.2889,6,0.753610972802598,243.92489432170987
7,125,0.2889,7,0.7537229084611576,261.28877203166485
8,125,0.2889,8,0.7476332090984997,257.0182815846056
9,125,0.2889,9,0.7395754475951021,271.4434044677764
10,125,0.2889,10,0.7740304147338182,256.51369844190776
11,125,0.2889,11,0.7571349051260541,240.51505756564438
12,125,0.2889,12,0.7684492673973592,260.56449430808425
13,125,0.2889,13,0.769443253362965,251.15510358847678
14,125,0.2889,14,0.7318210959805644,245.98101630434394
15,125,0.2889,15,0.7514215699811099,245.09579796157777
16,125,0.2889,16,0.7562040015368197,263.58884889259934
17,125,0.2889,17,0.7407824111412039,243.21003611572087
18,125,0.2889,18,0.7639184188623485,234.60065294988453
19,125,0.2889,19,0.7665813842209648,260.6908941529691
20,125,0.2889,20,0.7637777620692436,236.13895171321929
21,125,0.2889,21,0.7664975467439243,254.5222459807992
22,125,0.2889,22,0.7618429387960407,243.40296172350645
23,125,0.2889,23,0.7726462166400362,257.92930222675204
24,125,0.2889,24,0.7743107788902036,242.3471211269498
25,125,0.2889,25,0.7649443166114247,234.96925501152873
26,125,0.2889,26,0.7771561741894404,251.17891152389348
27,125,0.2889,27,0.7558841301583721,246.69400815851986
28,125,0.2889,28,0.7645218715171984,239.42669447138906
29,125,0.2889,29,0.769338689021087,244.54545610770583
30,110,0.2889,0,0.7728571930059961,226.3267928287387
31,110,0.2889,1,0.7682044186224004,222.50461418367922
32,110,0.2889,2,0.7659397955466053,224.7944881170988
33,110,0.2889,3,0.7578110491635799,235.4037696607411
34,110,0.2889,4,0.7844062515062052,237.95393707416952
35,110,0.2889,5,0.7582427467867413,217.98597198724747
36,110,0.2889,6,0.7757915452914167,227.69001295603812
37,110,0.2889,7,0.7784236418275777,235.74958731792867
38,110,0.2889,8,0.7452571109611413,230.50021523050964
39,110,0.2889,9,0.7365744340417055,223.58261862024665
40,110,0.2889,10,0.7750655420702167,241.60096361674368
41,110,0.2889,11,0.768187007702989,226.99560399912298
42,110,0.2889,12,0.7653214555497568,223.1440924219787
43,110,0.2889,13,0.7724072762127552,225.9131159298122
44,110,0.2889,14,0.7598788614369785,220.99254642613232
45,110,0.2889,15,0.7722287234047058,222.86913977377117
46,110,0.2889,16,0.7527496581840866,220.74070941098034
47,110,0.2889,17,0.7805756480553856,226.95722625218332
48,110,0.2889,18,0.7739280104330267,227.58327654749155
49,110,0.2889,19,0.7562839671755073,228.25626155547798
50,110,0.2889,20,0.7552541428811554,221.15927145443857
51,110,0.2889,21,0.7659165486338333,228.11943027749658
52,110,0.2889,22,0.7551405448380343,224.50702589936554
53,110,0.2889,23,0.7537391034750881,224.9107605367899
54,110,0.2889,24,0.785054048533949,227.55335639417171
55,110,0.2889,25,0.8023738950366294,213.22174481861293
56,110,0.2889,26,0.7506423686891965,228.1487248595804
57,110,0.2889,27,0.7860193821898486,232.56465375982225
58,110,0.2889,28,0.7692093018541087,216.46606124937534
59,110,0.2889,29,0.7627337563286734,221.18842685595155
60,100,0.2889,0,0.772129338573113,211.4390518013388
61,100,0.2889,1,0.7934064650537966,209.09659614413977
62,100,0.2889,2,0.7546214414346648,209.79442535154521
63,100,0.2889,3,0.7462793080515912,211.39206867665052
64,100,0.2889,4,0.7609950114909949,220.36059848591685
65,100,0.2889,5,0.7679063241287628,212.28606424853206
66,100,0.2889,6,0.771861002880817,214.98745005205274
67,100,0.2889,7,0.7438300032276379,210.07004459947348
68,100,0.2889,8,0.7757762061761194,213.51175343059003
69,100,0.2889,9,0.788494633977932,210.98657121136785
70,100,0.2889,10,0.7662979953011624,212.4118428081274
71,100,0.2889,11,0.7482480813823292,215.1702065318823
72,100,0.2889,12,0.7556228093053893,211.77280997298658
73,100,0.2889,13,0.7652090592942008,214.0123141426593
74,100,0.2889,14,0.7952885473238036,217.19137845747173
75,100,0.2889,15,0.7854311715896262,210.46189604513347
76,100,0.2889,16,0.7373338208390768,215.2439598646015
77,100,0.2889,17,0.7589798837491298,216.89761962927878
78,100,0.2889,18,0.7616016936190381,205.1734207123518
79,100,0.2889,19,0.7806775952886597,214.4652867242694
80,100,0.2889,20,0.7520661375356609,211.20131845586002
81,100,0.2889,21,0.7843356672224326,217.82266923971474
82,100,0.2889,22,0.746506276486445,214.89275382645428
83,100,0.2889,23,0.7570640967203717,208.82572736032307
84,100,0.2889,24,0.7655429021148722,204.55353455618024
85,100,0.2889,25,0.7530365448174783,211.57741764187813
86,100,0.2889,26,0.728035124555169,215.92387543804944
87,100,0.2889,27,0.7675403506969294,211.46114390715957
